lat,lng
"5,253,393,955","1,342,689,483"
"5,243,995,086","1,339,209,027"
"5,253,802,784","1,332,624,193"
"5,249,953,417","1,331,652,064"
"5,249,386,714","1,352,575,163"
"5,253,096,213","1,337,353,829"
"5,253,584,537","1,360,523,023"
"5,248,943,851","1,334,961,395"
"5,255,124,558","1,338,378,941"
"5,249,378,526","1,338,345,801"
"5,256,713,943","1,351,520,192"
"5,249,334,102","1,336,775,616"
"5,249,113,688","1,334,496,711"
"5,249,993,372","1,334,076,867"
"5,250,951,959","1,337,680,527"
"5,246,621,546","133,283,651"
"524,417,447","1,326,178,321"
"5,243,849,547","1,324,116,591"
"5,248,845,278","1,330,791,309"
"52,454,468","134,619,448"
"5,247,121,631","1,334,366,241"
"525,063,255","1,333,266,585"
"5,251,506,335","133,492,624"
"5,242,904,384","1,355,057,965"
"5,250,827,479","1,337,669,957"
"525,524,347","134,384,967"
"5,246,721,899","1,343,148,363"
"5,250,790,264","134,971,528"
"5,243,034,887","1,345,578,997"
"5,252,839,961","1,359,823,297"
"5,260,526,073","1,335,829,309"
"5,257,588,428","1,332,196,238"
"5,249,777,612","1,343,092,335"
"5,253,430,707","1,319,477,295"
"5,253,370,424","1,319,451,794"
"5,252,385,335","1,333,042,363"
"5,248,598,039","133,333,858"
"5,243,200,998","1,324,111,798"
"5,254,864,203","1,317,922,829"
"5,258,816,769","1,333,996,856"
"5,252,639,286","1,340,872,126"
"5,253,383,903","1,344,403,463"
"5,246,490,792","1,332,854,151"
"5,243,355,284","1,335,169,293"
"5,242,367,063","1,343,664,219"
"524,787,843","1,342,571,004"
"5,253,665,496","1,320,053,294"
"5,245,551,823","1,358,889,101"
"5,242,013,462","1,353,851,982"
"5,245,655,345","1,332,225,692"
"5,255,588,825","1,347,948,842"
"5,254,178,429","1,337,813,184"
"5,253,918,465","1,334,525,341"
"5,246,964,673","134,416,576"
"525,520,336","134,865,488"
"5,249,885,518","1,341,780,063"
"5,249,432,263","135,301,684"
"5,246,472,947","1,344,815,509"
"526,136,691","13,344,169"
"5,241,726,546","1,333,468,927"
"525,543,062","135,516,257"
"5,249,394,608","1,342,870,657"
"5,250,318,662","1,334,977,341"
"5,243,070,585","1,326,843,715"
"5,241,909,731","132,489,789"
"5,250,775,837","1,339,034,694"
"5,247,762,415","1,344,818,781"
"5,243,699,986","1,354,559,048"
"5,245,962,671","1,348,641,003"
"5,253,337,631","133,876,178"
"5,256,652,227","1,356,195,362"
"5,252,396,602","1,341,177,151"
"5,253,079,698","1,347,775,586"
"5,246,606,634","1,347,106,376"
"525,043,678","1,338,240,017"
"5,245,440,678","1,347,258,349"
"5,241,211,822","1,326,676,539"
"5,257,612,526","1,329,463,366"
"5,251,536,861","1,339,768,443"
"5,250,433,651","1,351,147,743"
"5,243,815,343","1,348,093,551"
"5,250,021,673","134,961,473"
"525,209,323","1,348,593,464"
"5,252,653,176","1,338,720,431"
"5,253,097,938","1,347,827,589"
"5,249,516,294","1,340,449,375"
"5,255,734,983","1,338,538,757"
"5,252,308,982","1,347,100,199"
"5,250,047,683","1,348,328,963"
"5,253,239,077","1,335,034,674"
"5,253,495,511","1,350,936,762"
"5,250,524,328","1,354,613,779"
"5,260,499,612","1,341,530,801"
"5,254,585,781","1,333,223,014"
"5,259,819,378","1,335,592,679"
"5,254,846,501","1,343,649,048"
"5,245,686,124","1,357,406,078"
"5,253,458,142","1,329,750,767"
"5,251,078,164","1,327,028,079"
"5,250,519,316","133,413,303"
"5,253,695,567","1,319,595,622"
"52,525,187","1,333,777,783"
"5,250,048,862","1,342,221,822"
"5,251,166,314","1,335,074,302"
"5,250,991,559","1,346,440,441"
"5,242,852,319","1,335,498,438"
"524,958,187","1,338,428,038"
"5,248,889,641","134,077,683"
"525,171,527","1,344,065,024"
"5,247,828,799","1,336,349,874"
"5,242,794,209","1,349,036,022"
"5,250,115,514","1,335,770,887"
"525,661,524","1,348,373,716"
"5,248,045,524","1,331,276,605"
"5,255,532,798","1,335,607,778"
"525,308,907","1,345,574,569"
"525,025,639","1,359,763,953"
"5,250,012,696","1,336,139,663"
"5,246,690,759","1,357,494,331"
"5,248,366,392","1,332,021,327"
"5,245,052,458","1,334,230,935"
"5,253,216,223","1,352,685,607"
"5,250,570,196","1,351,592,723"
"5,254,983,167","1,343,401,815"
"5,246,080,819","1,348,138,962"
"5,253,913,834","1,334,486,166"
"5,251,806,404","1,343,294,346"
"5,250,448","1,347,440,847"
"5,255,864,843","13,386,403"
"5,245,637,597","1,347,566,899"
"5,253,795,755","1,339,623,921"
"5,260,285,746","1,340,210,555"
"525,968,058","1,336,053,212"
"5,249,554,755","1,342,115,794"
"5,252,048,014","134,587,347"
"5,249,859,044","1,333,427,807"
"5,251,233,654","133,935,253"
"5,248,601,886","133,308,363"
"5,252,420,984","13,584,013"
"5,242,013,961","1,348,995,252"
"5,252,354,894","1,333,403,436"
"5,254,316,133","1,342,349,506"
"525,447,804","1,337,860,392"
"5,252,016,894","1,346,687,475"
"5,243,192,471","1,327,780,476"
"5,246,823,373","1,330,764,028"
"5,255,399,136","1,355,827,873"
"5,250,237,489","1,343,944,436"
"5,242,387,048","1,354,274,072"
"5,244,088,187","1,335,238,934"
"5,249,109,312","1,332,314,189"
"5,249,162,104","1,329,781,005"
"5,250,202,525","1,342,486,148"
"5,258,879,105","134,302,741"
"525,018,733","133,206,747"
"5,252,698,787","1,321,699,489"
"5,245,552,642","1,337,351,766"
"5,254,841,869","1,342,028,321"
"5,247,108,579","1,344,627,095"
"5,243,461,527","1,325,779,733"
"5,252,408,755","1,336,169,483"
"5,254,413,835","1,324,708,127"
"5,251,696,876","1,335,797,064"
"5,257,918,639","1,329,953,349"
"5,253,578,324","1,347,362,914"
"5,251,303,103","1,332,098,283"
"5,251,749,233","1,330,661,969"
"5,248,054,789","1,328,107,408"
"5,253,361,407","1,338,730,539"
"5,246,027,704","1,333,942,537"
"5,250,806,916","1,327,431,025"
"5,246,938,213","1,343,251,731"
"5,245,051,063","136,244,641"
"5,252,489,422","1,347,976,164"
"5,241,483,607","1,334,802,773"
"5,247,165,101","1,332,009,451"
"5,249,941,212","1,333,479,288"
"5,249,028,905","1,360,717,712"
"5,247,749,893","134,480,023"
"5,251,819,032","1,344,116,839"
"5,249,653,589","1,338,451,516"
"5,255,985,498","1,336,986,399"
"524,164,792","1,331,535,703"
"5,249,836,166","134,065,982"
"5,244,785,426","1,344,001,154"
"5,244,754,823","1,339,277,389"
"5,247,828,593","135,245,864"
"5,251,415,956","1,340,561,863"
"5,256,339,623","1,350,485,518"
"5,250,804,329","1,331,418,103"
"5,242,786,182","1,334,343,517"
"5,250,105,575","133,322,354"
"5,254,896,429","1,350,158,734"
"5,244,556,296","1,338,571,653"
"5,259,582,126","1,343,278,839"
"5,241,456,157","1,340,103,031"
"5,241,079,047","1,338,140,471"
"524,929,762","1,338,802,391"
"5,244,896,273","1,353,952,056"
"5,256,424,175","1,350,387,385"
"5,246,977,923","1,337,213,552"
"5,247,699,618","1,330,642,029"
"5,244,376,719","1,359,604,549"
"5,257,375,464","1,335,183,421"
"5,244,837,392","1,343,791,625"
"5,249,900,531","1,339,550,025"
"5,255,406,253","1,340,665,644"
"5,251,831,441","1,328,005,592"
"5,251,754,415","1,358,910,456"
"5,250,129,975","1,331,690,614"
"5,239,756,849","1,314,369,614"
"5,252,899,714","1,340,314,693"
"5,253,842,276","1,318,243,909"
"5,255,965,952","1,349,471,718"
"5,252,603,213","134,037,886"
"5,243,494,404","1,336,683,956"
"5,251,461,338","1,327,624,817"
"5,253,854,176","1,320,953,484"
"5,252,912,098","1,358,568,851"
"5,250,392,529","133,370,146"
"5,252,758,647","1,345,841,796"
"5,245,243,365","1,343,312,661"
"5,256,908,191","1,351,053,177"
"5,249,636,544","1,330,832,325"
"5,253,566,567","1,335,664,123"
"5,246,571,973","1,339,155,018"
"5,253,950,932","1,320,544,905"
"524,378,023","1,357,170,627"
"5,243,334,401","1,335,277,452"
"5,252,355,107","134,642,109"
